UNIQUEID,QUANTITYORDERED,PRICEEACH,SALES,DEALSIZE
5189,34,$81.35 ,"$2,765.90 ",Small
1941,50,$100.00 ,"$8,284.00 ",Large
1435,32,$76.88 ,"$2,460.16 ",Small
5663,25,$86.74 ,"$2,168.50 ",Small
4846,44,$74.85 ,"$3,293.40 ",Medium
2172,42,$100.00 ,"$7,599.90 ",Large
1289,37,$99.82 ,"$3,693.34 ",Medium
3542,32,$63.84 ,"$2,042.88 ",Small
1474,20,$100.00 ,"$2,142.00 ",Small
5081,34,$100.00 ,"$5,004.80 ",Medium
1745,43,$72.38 ,"$3,112.34 ",Medium
2752,31,$100.00 ,"$4,100.99 ",Medium
5892,25,$100.00 ,"$3,598.50 ",Medium
1352,21,$73.17 ,"$1,536.57 ",Small
2616,21,$100.00 ,"$2,469.39 ",Small
2643,35,$49.74 ,"$1,740.90 ",Small
3382,28,$100.00 ,"$3,583.16 ",Medium
4392,39,$30.96 ,"$1,207.44 ",Small
1857,34,$50.21 ,"$1,707.14 ",Small
5500,43,$100.00 ,"$5,494.97 ",Medium
2101,29,$71.14 ,"$2,063.06 ",Small
4203,31,$44.66 ,"$1,384.46 ",Small
4206,26,$100.00 ,"$3,073.72 ",Medium
2323,46,$100.00 ,"$5,161.20 ",Medium
1996,34,$100.00 ,"$5,331.88 ",Medium
4672,50,$59.87 ,"$2,993.50 ",Small
2251,32,$100.00 ,"$3,254.72 ",Medium
4343,21,$100.00 ,"$2,856.00 ",Small
2569,42,$53.88 ,"$2,262.96 ",Small
1332,42,$100.00 ,"$4,431.84 ",Medium
4121,34,$100.00 ,"$6,483.46 ",Medium
5143,36,$85.59 ,"$3,081.24 ",Medium
3269,23,$57.73 ,"$1,327.79 ",Small
4604,22,$77.90 ,"$1,713.80 ",Small
5693,45,$37.84 ,"$1,702.80 ",Small
1671,22,$45.25 ,$995.50 ,Small
2156,32,$72.70 ,"$2,326.40 ",Small
5747,25,$93.95 ,"$2,348.75 ",Small
3774,49,$83.04 ,"$4,068.96 ",Medium
2244,43,$100.00 ,"$5,203.00 ",Medium
5498,46,$33.23 ,"$1,528.58 ",Small
4208,38,$100.00 ,"$7,329.06 ",Large
5396,22,$100.00 ,"$3,347.74 ",Medium
4676,21,$100.00 ,"$2,439.57 ",Small
3643,38,$100.00 ,"$3,857.00 ",Medium
3724,42,$54.99 ,"$2,309.58 ",Small
4779,43,$65.02 ,"$2,795.86 ",Small
2489,31,$90.17 ,"$2,795.27 ",Small
4346,46,$73.70 ,"$3,390.20 ",Medium
1903,30,$97.39 ,"$2,921.70 ",Small
4335,38,$82.34 ,"$3,128.92 ",Medium
4928,50,$100.00 ,"$7,083.00 ",Large
1351,43,$53.83 ,"$2,314.69 ",Small
4059,27,$100.00 ,"$3,415.77 ",Medium
1810,34,$100.00 ,"$3,576.12 ",Medium
1553,43,$96.31 ,"$4,141.33 ",Medium
2165,26,$62.70 ,"$1,630.20 ",Small
5486,45,$100.00 ,"$4,597.20 ",Medium
1701,46,$100.00 ,"$11,279.20 ",Large
1209,46,$100.00 ,"$7,366.44 ",Large
2697,42,$100.00 ,"$8,138.76 ",Large
3871,24,$100.00 ,"$2,559.60 ",Small
1609,45,$100.00 ,"$7,146.90 ",Large
5214,45,$100.00 ,"$6,295.95 ",Medium
1421,22,$100.00 ,"$3,837.24 ",Medium
4581,25,$100.00 ,"$3,447.00 ",Medium
3827,20,$60.69 ,"$1,213.80 ",Small
5748,39,$38.19 ,"$1,489.41 ",Small
5755,20,$96.99 ,"$1,939.80 ",Small
5113,45,$51.95 ,"$2,337.75 ",Small
2813,29,$70.84 ,"$2,054.36 ",Small
4142,46,$100.00 ,"$6,176.42 ",Medium
3054,46,$69.12 ,"$3,179.52 ",Medium
2432,41,$100.00 ,"$5,544.02 ",Medium
3308,41,$100.00 ,"$4,837.18 ",Medium
4355,43,$92.16 ,"$3,962.88 ",Medium
1690,32,$97.00 ,"$3,104.00 ",Medium
5147,33,$100.00 ,"$4,398.24 ",Medium
4184,45,$100.00 ,"$6,027.75 ",Medium
3709,41,$94.71 ,"$3,883.11 ",Medium
2846,50,$77.99 ,"$3,899.50 ",Medium
4117,31,$60.00 ,"$1,860.00 ",Small
1747,45,$85.29 ,"$3,838.05 ",Medium
5464,42,$91.15 ,"$3,828.30 ",Medium
2998,30,$85.41 ,"$2,562.30 ",Small
3328,32,$64.97 ,"$2,079.04 ",Small
1000,21,$100.00 ,"$2,781.66 ",Small
4266,40,$96.34 ,"$3,853.60 ",Medium
2470,33,$100.00 ,"$3,423.75 ",Medium
4744,35,$67.14 ,"$2,349.90 ",Small
5098,29,$59.18 ,"$1,716.22 ",Small
5566,50,$81.89 ,"$4,094.50 ",Medium
2811,22,$85.99 ,"$1,891.78 ",Small
1362,40,$100.00 ,"$4,427.60 ",Medium
2217,26,$85.13 ,"$2,213.38 ",Small
4631,21,$41.71 ,$875.91 ,Small
4048,49,$69.27 ,"$3,394.23 ",Medium
3807,41,$94.10 ,"$3,858.10 ",Medium
5301,46,$77.52 ,"$3,565.92 ",Medium
5629,23,$100.00 ,"$2,642.01 ",Small
4540,49,$57.10 ,"$2,797.90 ",Small
2031,27,$50.19 ,"$1,355.13 ",Small
3755,24,$77.64 ,"$1,863.36 ",Small
3435,27,$99.67 ,"$2,691.09 ",Small
5924,41,$94.74 ,"$3,884.34 ",Medium
4895,27,$100.00 ,"$3,307.77 ",Medium
1840,31,$100.00 ,"$7,023.98 ",Large
5874,20,$100.00 ,"$2,711.20 ",Small
1493,30,$61.78 ,"$1,853.40 ",Small
3894,35,$93.54 ,"$3,273.90 ",Medium
5776,43,$83.03 ,"$3,570.29 ",Medium
5436,42,$100.00 ,"$8,008.56 ",Large
4991,48,$100.00 ,"$6,031.68 ",Medium
5794,24,$75.01 ,"$1,800.24 ",Small
2571,29,$97.89 ,"$2,838.81 ",Small
3288,48,$79.31 ,"$3,806.88 ",Medium
3387,45,$78.00 ,"$3,510.00 ",Medium
4056,42,$100.00 ,"$5,432.70 ",Medium
2581,45,$50.36 ,"$2,266.20 ",Small
1893,31,$100.00 ,"$4,705.18 ",Medium
3490,29,$61.64 ,"$1,787.56 ",Small
4162,20,$35.87 ,$717.40 ,Small
1846,27,$66.13 ,"$1,785.51 ",Small
4508,47,$100.00 ,"$6,336.07 ",Medium
2062,23,$87.31 ,"$2,008.13 ",Small
3891,33,$40.23 ,"$1,327.59 ",Small
3337,30,$89.80 ,"$2,694.00 ",Small
4870,44,$96.00 ,"$4,224.00 ",Medium
1821,25,$100.00 ,"$3,644.75 ",Medium
5897,36,$100.00 ,"$5,274.72 ",Medium
2177,41,$100.00 ,"$8,331.61 ",Large
3964,44,$99.55 ,"$4,380.20 ",Medium
2111,37,$100.00 ,"$4,346.76 ",Medium
3444,31,$100.00 ,"$5,124.30 ",Medium
3608,26,$49.81 ,"$1,295.06 ",Small
4327,31,$100.00 ,"$3,184.94 ",Medium
2183,49,$43.13 ,"$2,113.37 ",Small
4884,41,$100.00 ,"$7,956.46 ",Large
3678,46,$100.00 ,"$5,545.76 ",Medium
2946,20,$71.20 ,"$1,424.00 ",Small
1268,20,$90.06 ,"$1,801.20 ",Small
2387,30,$100.00 ,"$3,095.40 ",Medium
5410,29,$100.00 ,"$3,276.13 ",Medium
5429,37,$100.00 ,"$7,374.10 ",Large
1292,26,$100.00 ,"$3,188.12 ",Medium
2089,38,$100.00 ,"$4,829.80 ",Medium
3427,32,$100.00 ,"$4,181.44 ",Medium
3385,46,$61.99 ,"$2,851.54 ",Small
2615,40,$100.00 ,"$4,601.20 ",Medium
2199,29,$43.27 ,"$1,254.83 ",Small
4214,47,$100.00 ,"$5,105.14 ",Medium
3714,26,$100.00 ,"$2,829.58 ",Small
3159,28,$60.76 ,"$1,701.28 ",Small
4702,36,$100.00 ,"$4,114.80 ",Medium
1880,21,$100.00 ,"$2,140.11 ",Small
5677,39,$100.00 ,"$5,938.53 ",Medium
5337,47,$100.00 ,"$6,287.66 ",Medium
1510,34,$100.00 ,"$4,836.50 ",Medium
2500,20,$54.33 ,"$1,086.60 ",Small
2068,21,$42.43 ,$891.03 ,Small
4717,40,$94.62 ,"$3,784.80 ",Medium
1308,24,$45.99 ,"$1,103.76 ",Small
4399,44,$100.00 ,"$5,500.44 ",Medium
2692,33,$100.00 ,"$8,023.29 ",Large
5221,33,$100.00 ,"$4,985.64 ",Medium
4311,46,$100.00 ,"$9,470.94 ",Large
5891,47,$100.00 ,"$6,034.33 ",Medium
2962,22,$97.81 ,"$2,151.82 ",Small
2321,24,$100.00 ,"$3,791.52 ",Medium
1938,24,$70.22 ,"$1,685.28 ",Small
4742,33,$100.00 ,"$3,366.00 ",Medium
5277,49,$98.25 ,"$4,814.25 ",Medium
2486,42,$74.57 ,"$3,131.94 ",Medium
1917,42,$49.79 ,"$2,091.18 ",Small
4596,41,$64.00 ,"$2,624.00 ",Small
4745,43,$84.01 ,"$3,612.43 ",Medium
4329,21,$100.00 ,"$2,334.99 ",Small
1164,38,$85.41 ,"$3,245.58 ",Medium
1898,39,$44.23 ,"$1,724.97 ",Small
4782,49,$100.00 ,"$5,597.76 ",Medium
4413,32,$100.00 ,"$5,248.00 ",Medium
5824,46,$74.84 ,"$3,442.64 ",Medium
2862,34,$100.00 ,"$3,455.76 ",Medium
2673,27,$60.97 ,"$1,646.19 ",Small
1794,33,$77.59 ,"$2,560.47 ",Small
2241,23,$80.51 ,"$1,851.73 ",Small
4409,28,$66.19 ,"$1,853.32 ",Small
2270,34,$36.66 ,"$1,246.44 ",Small
1115,36,$100.00 ,"$3,945.96 ",Medium
3857,26,$100.00 ,"$2,612.48 ",Small
1770,26,$82.77 ,"$2,152.02 ",Small
5774,31,$85.29 ,"$2,643.99 ",Small
2102,28,$96.00 ,"$2,688.00 ",Small
5294,34,$85.87 ,"$2,919.58 ",Small
1121,37,$50.65 ,"$1,874.05 ",Small
4873,20,$81.86 ,"$1,637.20 ",Small
1455,45,$83.26 ,"$3,746.70 ",Medium
2106,37,$100.00 ,"$5,192.95 ",Medium
3505,33,$100.00 ,"$5,176.38 ",Medium
1833,49,$100.00 ,"$8,339.80 ",Large
3625,30,$85.32 ,"$2,559.60 ",Small
3499,30,$49.67 ,"$1,490.10 ",Small
5751,43,$95.80 ,"$4,119.40 ",Medium
2158,40,$87.54 ,"$3,501.60 ",Medium
4791,47,$83.03 ,"$3,902.41 ",Medium
4939,27,$60.95 ,"$1,645.65 ",Small
1061,33,$84.77 ,"$2,797.41 ",Small
2850,33,$93.90 ,"$3,098.70 ",Medium
3121,31,$35.80 ,"$1,109.80 ",Small
5533,27,$100.00 ,"$3,251.34 ",Medium
5648,38,$81.36 ,"$3,091.68 ",Medium
3569,20,$100.00 ,"$2,752.60 ",Small
5883,47,$67.14 ,"$3,155.58 ",Medium
2356,29,$100.00 ,"$4,444.54 ",Medium
2614,48,$100.00 ,"$9,245.76 ",Large
4653,31,$100.00 ,"$3,494.94 ",Medium
3949,21,$63.84 ,"$1,340.64 ",Small
5492,33,$97.89 ,"$3,230.37 ",Medium
4784,26,$82.39 ,"$2,142.14 ",Small
2344,36,$86.04 ,"$3,097.44 ",Medium
3276,37,$100.00 ,"$4,405.22 ",Medium
3924,25,$42.67 ,"$1,066.75 ",Small
2414,30,$68.58 ,"$2,057.40 ",Small
1049,23,$100.00 ,"$2,906.97 ",Small
5988,31,$64.67 ,"$2,004.77 ",Small
3859,23,$100.00 ,"$2,702.04 ",Small
1038,47,$100.00 ,"$5,848.68 ",Medium
5846,25,$100.00 ,"$4,232.00 ",Medium
2613,27,$100.00 ,"$3,528.36 ",Medium
1708,32,$100.00 ,"$5,418.88 ",Medium
4874,28,$100.00 ,"$3,639.44 ",Medium
5009,34,$100.00 ,"$3,598.22 ",Medium
5683,29,$81.25 ,"$2,356.25 ",Small
4588,25,$60.26 ,"$1,506.50 ",Small
1165,47,$56.85 ,"$2,671.95 ",Small
5852,21,$73.60 ,"$1,545.60 ",Small
3481,34,$100.00 ,"$4,392.12 ",Medium
4161,31,$73.62 ,"$2,282.22 ",Small
2882,27,$100.00 ,"$3,469.50 ",Medium
3732,50,$100.00 ,"$5,907.50 ",Medium
5853,30,$58.22 ,"$1,746.60 ",Small
1233,34,$100.00 ,"$5,375.40 ",Medium
3147,24,$62.36 ,"$1,496.64 ",Small
1848,33,$100.00 ,"$4,950.33 ",Medium
2709,23,$100.00 ,"$4,230.62 ",Medium
5403,42,$94.25 ,"$3,958.50 ",Medium
3580,36,$33.19 ,"$1,194.84 ",Small
3918,49,$49.28 ,"$2,414.72 ",Small
3146,26,$38.98 ,"$1,013.48 ",Small
1037,20,$90.57 ,"$1,811.40 ",Small
4972,45,$100.00 ,"$10,993.50 ",Large
3500,20,$100.00 ,"$3,191.20 ",Medium
3041,30,$100.00 ,"$4,100.10 ",Medium
3644,34,$100.00 ,"$4,641.00 ",Medium
4106,47,$91.18 ,"$4,285.46 ",Medium
3545,30,$49.97 ,"$1,499.10 ",Small
2526,26,$100.00 ,"$2,804.36 ",Small
2798,49,$100.00 ,"$6,467.02 ",Medium
2427,30,$42.76 ,"$1,282.80 ",Small
1546,49,$58.18 ,"$2,850.82 ",Small
2538,20,$100.00 ,"$2,104.00 ",Small
5507,24,$100.00 ,"$3,327.60 ",Medium
4603,43,$100.00 ,"$7,110.91 ",Large
1160,49,$100.00 ,"$5,412.54 ",Medium
2474,39,$69.28 ,"$2,701.92 ",Small
2333,21,$100.00 ,"$3,734.01 ",Medium
1344,42,$100.00 ,"$5,098.80 ",Medium
3460,30,$40.31 ,"$1,209.30 ",Small
1441,27,$100.00 ,"$3,068.55 ",Medium
1064,41,$63.85 ,"$2,617.85 ",Small
4781,26,$100.00 ,"$3,220.10 ",Medium
5837,35,$100.00 ,"$4,524.10 ",Medium
3178,25,$65.31 ,"$1,632.75 ",Small
2433,23,$100.00 ,"$2,802.09 ",Small
3639,33,$50.95 ,"$1,681.35 ",Small
3128,20,$100.00 ,"$4,904.00 ",Medium
1998,42,$100.00 ,"$5,393.64 ",Medium
4961,49,$100.00 ,"$7,036.89 ",Large
1798,31,$100.00 ,"$3,641.57 ",Medium
1118,29,$88.74 ,"$2,573.46 ",Small
5709,22,$83.38 ,"$1,834.36 ",Small
3930,40,$100.00 ,"$5,456.40 ",Medium
3413,31,$57.41 ,"$1,779.71 ",Small
5026,43,$64.67 ,"$2,780.81 ",Small
2903,31,$87.48 ,"$2,711.88 ",Small
2166,50,$88.15 ,"$4,407.50 ",Medium
5942,20,$100.00 ,"$2,204.60 ",Small
5662,50,$60.06 ,"$3,003.00 ",Medium
4076,31,$91.17 ,"$2,826.27 ",Small
1409,36,$64.33 ,"$2,315.88 ",Small
4221,33,$100.00 ,"$5,521.89 ",Medium
5590,29,$100.00 ,"$3,984.60 ",Medium
1237,22,$76.61 ,"$1,685.42 ",Small
3250,23,$100.00 ,"$2,807.61 ",Small
1907,41,$92.40 ,"$3,788.40 ",Medium
5701,49,$78.80 ,"$3,861.20 ",Medium
2412,23,$100.00 ,"$3,786.49 ",Medium
2926,31,$58.78 ,"$1,822.18 ",Small
1274,37,$100.00 ,"$5,917.78 ",Medium
4739,32,$100.00 ,"$3,424.64 ",Medium
3952,47,$100.00 ,"$7,488.04 ",Large
1403,22,$100.00 ,"$3,223.44 ",Medium
4145,23,$100.00 ,"$4,011.66 ",Medium
5020,39,$100.00 ,"$6,446.70 ",Medium
1692,27,$72.02 ,"$1,944.54 ",Small
5454,22,$51.32 ,"$1,129.04 ",Small
3808,48,$34.36 ,"$1,649.28 ",Small
3231,22,$96.37 ,"$2,120.14 ",Small
2529,50,$100.00 ,"$7,723.50 ",Large
3749,32,$100.00 ,"$4,526.08 ",Medium
5599,38,$100.00 ,"$6,531.44 ",Medium
2178,43,$100.00 ,"$7,310.00 ",Large
3553,44,$79.14 ,"$3,482.16 ",Medium
2849,29,$100.00 ,"$3,622.97 ",Medium
4797,38,$89.27 ,"$3,392.26 ",Medium
3680,23,$72.70 ,"$1,672.10 ",Small
1021,49,$100.00 ,"$5,298.86 ",Medium
5540,23,$72.62 ,"$1,670.26 ",Small
1529,45,$100.00 ,"$5,548.95 ",Medium
1244,48,$74.48 ,"$3,575.04 ",Medium
2454,34,$55.89 ,"$1,900.26 ",Small
3271,37,$67.93 ,"$2,513.41 ",Small
4103,44,$77.11 ,"$3,392.84 ",Medium
5792,32,$91.43 ,"$2,925.76 ",Small
3246,20,$100.00 ,"$2,353.40 ",Small
1613,43,$86.40 ,"$3,715.20 ",Medium
1456,44,$85.87 ,"$3,778.28 ",Medium
2088,34,$49.16 ,"$1,671.44 ",Small
3206,20,$41.02 ,$820.40 ,Small
1326,48,$100.00 ,"$4,954.08 ",Medium
3776,49,$100.00 ,"$5,205.27 ",Medium
2776,37,$100.00 ,"$5,016.83 ",Medium
1714,22,$100.00 ,"$4,132.70 ",Medium
4380,41,$100.00 ,"$8,296.35 ",Large
2134,38,$100.00 ,"$6,238.84 ",Medium
1965,24,$73.42 ,"$1,762.08 ",Small
5977,42,$51.48 ,"$2,162.16 ",Small
1513,21,$81.21 ,"$1,705.41 ",Small
3301,25,$100.00 ,"$3,638.00 ",Medium
3933,21,$64.66 ,"$1,357.86 ",Small
5151,32,$100.00 ,"$4,618.88 ",Medium
4965,44,$100.00 ,"$5,355.68 ",Medium
4523,22,$67.03 ,"$1,474.66 ",Small
1390,27,$80.34 ,"$2,169.18 ",Small
5539,50,$69.80 ,"$3,490.00 ",Medium
4181,23,$67.10 ,"$1,543.30 ",Small
3016,35,$35.40 ,"$1,239.00 ",Small
3317,23,$100.00 ,"$2,347.15 ",Small
1890,31,$71.60 ,"$2,219.60 ",Small
5504,46,$100.00 ,"$5,294.14 ",Medium
2060,50,$100.00 ,"$5,182.00 ",Medium
2121,38,$88.55 ,"$3,364.90 ",Medium
2452,20,$100.00 ,"$3,996.40 ",Medium
5449,42,$37.00 ,"$1,554.00 ",Small
3536,35,$100.00 ,"$4,767.70 ",Medium
5901,28,$100.00 ,"$3,764.88 ",Medium
2715,43,$100.00 ,"$6,153.73 ",Medium
5785,48,$100.00 ,"$6,145.44 ",Medium
